ts,CH2,CH3,CH4
20251222_155114,348.4940423363873,334.1191908657033,311.0372859893625
20251222_155202,340.4125439991722,334.654845777094,323.799775969803
20251222_155251,53.345798229603,61.1318170693089,53.4732311539492
20251222_155340,50.3958818255185,34.8529122717114,25.9189338921813
20251222_155429,37.5582100082067,41.2563834207671,37.8116022069559
20251222_155518,343.741186247446,350.6995025531942,353.5268903684099
20251222_155607,56.3757317950051,43.2323486145227,31.059118176281
20251222_155656,44.0344281870559,39.7746484000618,47.4100406572592
20251222_155745,323.9300483939242,319.058569099026,343.3939523108812
20251222_155834,29.9905357892474,42.6314461115815,9.0860512138009
20251222_155923,16.2622145477636,34.9489688809861,13.0239837683553
20251222_160012,0.544562403827031,356.7035272218532,326.5211174667363
20251222_160101,43.6658794442853,25.8113012585868,41.0521474178841
20251222_160150,52.9838049815164,33.363589144504,42.6365853471947
20251222_160239,313.7346929105805,333.4875290072127,309.1444566574579
20251222_160328,10.8718450101062,345.3373626172587,358.1874248205898
20251222_160417,1.1655814993534,357.3778939396211,322.845294240205
20251222_160506,37.1004493412234,38.9116453928291,46.1324942043818
20251222_160555,32.1544405534934,41.6053260275926,40.0025940587597
